route_id,parent_route_id,source,label,canonical_path,page_type,navigation,indexability,content_shape,product_title_shape,launch_phase,status
home,,SYSTEM,Home,/,HOME,header,index,MANUAL,NA,PILOT,approved_system
search,,SYSTEM,Search,/search,UTILITY,utility,noindex,NONE,NA,PILOT,approved_system
cart,,SYSTEM,Cart,/cart,UTILITY,utility,noindex,NONE,NA,PILOT,approved_system
checkout,,SYSTEM,Checkout,/checkout,UTILITY,none,noindex,NONE,NA,V1,approved_system
contact,,SYSTEM,Contact,/contact,UTILITY,utility,index,MANUAL,NA,PILOT,pending_approval
catalog_leaf_resolver,,SYSTEM,Catalog leaf resolver,/{group-slug}/{category-slug}/{slug},RESOLVER_PATTERN,none,conditional,PRODUCT_OR_CURATED,VARIES,V1,approved
article_detail,,SYSTEM,Article detail,/resources/articles/{article-slug},ROUTE_PATTERN,none,conditional,MANUAL,NA,V1,pending_approval
brand_detail,,SYSTEM,Brand detail,/brands/{brand-slug},ROUTE_PATTERN,none,conditional,MANUAL,NA,V1,pending_approval
billiards,,JORDAN,Billiards,/billiards,HUB,header,conditional,C1,NA,V1,pending_approval
billiards_pool_tables,billiards,JORDAN,Pool Tables,/billiards/pool-tables,PLP,mega_menu,conditional,C1,A_SIZED,PILOT,pending_approval
billiards_pool_cues,billiards,JORDAN,Pool Cues,/billiards/pool-cues,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
billiards_pool_cue_cases,billiards,JORDAN,Pool Cue Cases,/billiards/pool-cue-cases,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_pool_table_felt,billiards,JORDAN,Pool Table Felt,/billiards/pool-table-felt,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_pool_cue_racks,billiards,JORDAN,"Pool Cue Racks, Holders & Storage",/billiards/pool-cue-racks-holders-storage,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_pool_balls,billiards,JORDAN,Pool Balls,/billiards/pool-balls,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_pool_table_covers,billiards,JORDAN,Pool Table Covers,/billiards/pool-table-covers,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_chalk,billiards,JORDAN,Chalk & Chalk Holders,/billiards/chalk-chalk-holders,PLP,mega_menu,conditional,C1,B_UNSIZED,PILOT,pending_approval
billiards_gloves,billiards,JORDAN,Gloves,/billiards/gloves,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_cue_tips,billiards,JORDAN,Cue Tips & Cue Maintenance,/billiards/cue-tips-cue-maintenance,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_pool_table_care,billiards,JORDAN,Pool Table Care,/billiards/pool-table-care,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
billiards_joint_protectors,billiards,JORDAN,Pool Cue Joint Protectors,/billiards/pool-cue-joint-protectors,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
ping_pong,,JORDAN,Ping Pong,/ping-pong,HUB,header,conditional,C1,NA,V1,pending_approval
ping_pong_tables,ping_pong,JORDAN,Ping Pong Tables,/ping-pong/ping-pong-tables,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
ping_pong_paddles,ping_pong,JORDAN,Ping Pong Paddles,/ping-pong/ping-pong-paddles,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
ping_pong_robots,ping_pong,JORDAN,Ping Pong Robots,/ping-pong/ping-pong-robots,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
ping_pong_balls,ping_pong,JORDAN,Ping Pong Balls,/ping-pong/ping-pong-balls,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
ping_pong_nets,ping_pong,JORDAN,Ping Pong Net & Posts,/ping-pong/ping-pong-net-posts,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
ping_pong_covers,ping_pong,JORDAN,Ping Pong Table Covers,/ping-pong/ping-pong-table-covers,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_cooking,,JORDAN,BBQ & Cooking,/bbq-cooking,HUB,header,conditional,C1,NA,V1,approved
bbq_traeger_smokers,bbq_cooking,JORDAN,Traeger Smokers,/bbq-cooking/traeger-smokers,PLP,mega_menu,conditional,C1,A_SIZED,V1,pending_approval
bbq_traeger_accessories,bbq_cooking,JORDAN,Traeger Accessories,/bbq-cooking/traeger-accessories,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
bbq_grill_covers,bbq_cooking,JORDAN,Grill Covers,/bbq-cooking/grill-covers,PLP,mega_menu,conditional,C1,B_UNSIZED,V1,pending_approval
